1F473 $ 200D 2642 FE0F; 👳🏻‍♂️ man wearing turban
1F473 200D 2640 FE0F; 👳‍♀️ woman wearing turban
1F473 $ 200D 2640 FE0F; 👳🏻‍♀️ woman wearing turban
1F471 200D 2642 FE0F; 👱‍♂️ blond-haired man
1F471 $ 200D 2642 FE0F; 👱🏻‍♂️ blond-haired man
1F471 200D 2640 FE0F; 👱‍♀️ blond-haired woman
1F471 $ 200D 2640 FE0F; 👱🏻‍♀️ blond-haired woman
1F385; 🎅 Santa Claus
1F385 $; 🎅🏻 Santa Claus
1F936; 🤶 Mrs. Claus
1F936 $; 🤶🏻 Mrs. Claus
1F478; 👸 princess
1F478 $; 👸🏻 princess
1F934; 🤴 prince
1F934 $; 🤴🏻 prince
1F470; 👰 bride with veil
1F470 $; 👰🏻 bride with veil
1F935; 🤵 man in tuxedo
1F935 $; 🤵🏻 man in tuxedo
1F930; 🤰 pregnant woman
1F930 $; 🤰🏻 pregnant woman
1F472; 👲 man with Chinese cap
1F472 $; 👲🏻 man with Chinese cap
1F64D 200D 2642 FE0F; 🙍‍♂️ man frowning
1F64D $ 200D 2642 FE0F; 🙍🏻‍♂️ man frowning
1F64D 200D 2640 FE0F; 🙍‍♀️ woman frowning
1F64D $ 200D 2640 FE0F; 🙍🏻‍♀️ woman frowning
1F64E 200D 2642 FE0F; 🙎‍♂️ man pouting
1F64E $ 200D 2642 FE0F; 🙎🏻‍♂️ man pouting
1F64E 200D 2640 FE0F; 🙎‍♀️ woman pouting
1F64E $ 200D 2640 FE0F; 🙎🏻‍♀️ woman pouting
1F645 200D 2642 FE0F; 🙅‍♂️ man gesturing NO
1F645 $ 200D 2642 FE0F; 🙅🏻‍♂️ man gesturing NO
1F645 200D 2640 FE0F; 🙅‍♀️ woman gesturing NO
1F645 $ 200D 2640 FE0F; 🙅🏻‍♀️ woman gesturing NO
1F646 200D 2642 FE0F; 🙆‍♂️ man gesturing OK
1F646 $ 200D 2642 FE0F; 🙆🏻‍♂️ man gesturing OK
1F646 200D 2640 FE0F; 🙆‍♀️ woman gesturing OK
1F646 $ 200D 2640 FE0F; 🙆🏻‍♀️ woman gesturing OK
1F481 200D 2642 FE0F; 💁‍♂️ man tipping hand
1F481 $ 200D 2642 FE0F; 💁🏻‍♂️ man tipping hand
1F481 200D 2640 FE0F; 💁‍♀️ woman tipping hand
